CURRICULUM MAPPING WITH PERFORMANCE INDICATORS			
			ELECTRICAL ENGINEERING
SOs		PERFORMANCE INDICATORS (PI)	
SO1	Discipline Knowledge. Ability to apply mathematics, sciences, and principles of engineering to solve complex electrical engineering problems.		
I	PI1	Introduce the principles mathematics, sciences, and engineering that describe the behavior and performance of physical systems and processes	
			
R	PI2	Apply the principles of mathematics, sciences, and engineering to electrical engineering problems.	
			
D	PI3	Solve complex electrical engineering problems using mathematics, scientific, and engineering principles.	
			
SO2	Investigation. Ability to develop and conduct appropriate experimentation, analyze and interpret data, and use engineering judgment to draw conclusions; 		
I	PI1	Acquire knowledge and ability to develop and conduct experimentations/ simulations.	
			
R	PI2	Interpret experimental/ simulation data and results with respect to appropriate theoretical models/constraints.	
			
D	PI3	Evaluate observed differences between model and experiment/simulation results and draw conclusions.	
			
SO3	Design/Development of Solutions. Design solution, system, components, processes, exhibiting improvements/ innovations, that meet specified needs with appropriate consideration for public health and safety, cultural, societal, economical, ethical, environmental, and sustainability issues.		
I	PI1	Introduce the design principles involved in the design of solutions, systems, components, or processes with consideration to public constaints.	
			
R	PI2	Apply engineering principles to design a system, components, or processes that meet the customer's needs.	
			
D	PI3	a. Formulate mathematical or simulation model(s) considering public health, safety, cultural, social, ethical, economic, environmental, and sustainability issues. b. Build a prototype or design model that meets the customer's specific needs.	
			
SO4	Leadership and Teamwork. Function effectively as a member or a leader of a diverse team whose members together provide leadership, create a collaborative and inclusive environment, establish goals, plan tasks, and meet objectives.		
I	PI1	Acquire knowledge and self-confidence to be a functioning member or leader in a diverse team.	
			
R	PI2	Create a collaborative environment and accomplish individual responsibilities that contribute to the team’s success.	
			
D	PI3	a. Establish goals, action plans, and activities to meet objectives. b. Act as a leader in multidisciplinary teams.	
			
SO5	Problem Analysis. Identify, formulate, and solve complex electrical engineering problems by applying principles of engineering, science, and mathematics;		
I	PI1	Acquire knowledge in identifying, formulating, and solving complex electrical engineering problems.	
			
R	PI2	Formulate the mathematical or solution model for the identified problem.	
			
D	PI3	Analyze and solve the problem.	
			
SO6	Ethics and Professionalism. Apply ethical principles and professional responsibilities in engineering situations and make informed judgments, which must consider the impact of engineering solutions in global, environmental, and societal contexts.		
I	PI1	Acquire basic knowledge on ethical and professional responsibilities in the societal context of an engineering situation.	
			
R	PI2	Apply ethical and professional conduct in handling responsibilities related to an engineering project.	
			
D	PI3	Assess the impact of engineering solutions in a global, economic, environmental, and societal context.	
			
SO7	Communication. Communicate effectively on complex electrical engineering activities with the community, and the society at large, such as being able to comprehend and write effective reports and design documentation, make effective presentations and give and receive clear instructions;		
I	PI1	Acquire knowledge to develop written and oral communication skills appropriate to the profession of electrical engineering.	
			
R	PI2	Develop oral and visual communication skills appropriate to the profession of electrical engineering	
			
D	PI3	Demonstrate competence in writing and presentation of engineering reports,  and communication letters.	
			
SO8	Environment and Sustainability. Recognize the impact of professional engineering solutions in societal, global, and environmental contexts and demonstrate knowledge of and need for sustainable development;		
I	PI1	Acquire an understanding of the impact of engineering solutions in soceital, global, and environmental context.	
			
R	PI2	Apply knowledge of sustainable development to engineering solutions with considerations to soceital, global, economic, and environmental issues.	
			
D	PI3	Demonstrate knowledge of and need of solutions for sustainable development	
			
SO9	Lifelong Learning. Recognize the need for, and ability to engage in independent and lifelong learning in the broadest context of technological change.		
I	PI1	Acquire lifelong learning knowledge and skills needed to motivate self to engage in further studies.	
			
R	PI2	Apply learned knowledge and skills in promoting engineering solutions toward deeper interest/motivation to pursue further studies.	
			
D	PI3	Engage in other lifelong learning activities for professional advancement and development.	
			
SO10	The Engineer and Society. Apply reasoning based on contextual knowledge to assess societal, health, safety, legal, cultural, contemporary issues, and the consequent responsibilities relevant to professional engineering practices.		
I	PI1	Acquire knowledge of current events, developments, and issues in the technical and non-technical space at the regional, national and global level.	
			
R	PI2	Apply reasoning based on contextual knowledge about the current developments and trends relevant to the field of engineering.	
			
D	PI3	Assess the consequent responsibilities of engineering solutions to societal, health, legal, cultural, and contemporary issues relevant to professional engineering practices.	
			
SO11	Modern Tool Usage. Apply appropriate techniques, skills, and modern engineering and IT tools to complex electrical engineering activities;		
I	PI1	Acquire knowledge and techniques of using modern engineering and IT tools.	
			
R	PI2	Apply learned techniques using modern and IT tools to simulate complex engineering activities	
			
D	PI3	Use commercial software as tools for system design and analysis.	
			
SO12	Project Management and Finance. Demonstrate knowledge and understanding of engineering management and financial principles as a member or a leader of a team to manage projects in multidisciplinary settings, and identify opportunities of entrepreneurship.		
I	PI1	Acquire knowledge and understanding of engineering management and financial principles for managing projects.	
			
R	PI2	Identify opportunities and be involved in entrepreneurial engagements.	
			
D	PI3	Demonstrate knowledge of engineering management and cost analysis applied to an engineering project.	
			
SO13	Social and National Responsibility. Apply acquired engineering knowledge and skills in addressing community problems that contribute to national development.		
I	PI1	Acquire knowledge and understanding of the community problems that needs engineering solutions.	
			
R	PI2	Apply the acquired knowledge and skills  in provind solutions to community problems.	
			
D	PI3	Participate actively in providing solutions to community problems that promote national development.	
